3566    words
1061    training documents
707     testing documents
Depth   Training        Testing         Importance      Word
1       0.76814         0.73833         62.58052        god
2       0.79453         0.77935         58.01775        graphics
3       0.82092         0.81471         42.10867        that
4       0.82092         0.81471         39.45322        image
5       0.83695         0.81612         38.30560        that
6       0.83695         0.81612         20.12510        program
7       0.84260         0.81754         19.92318        wrote
8       0.85674         0.84300         18.16546        people
9       0.86616         0.83734         17.58717        religious
10      0.87276         0.83876         15.97426        bible
11      0.87653         0.84017         14.27562        comp
12      0.88030         0.84158         12.72297        atheist
13      0.88313         0.84300         13.49984        keith
14      0.88596         0.84158         12.41040        an
15      0.88596         0.84158         12.48687        he
16      0.88878         0.84724         11.23781        uchicago
17      0.89161         0.84724         11.76425        edges
18      0.89444         0.84724         12.37584        slow
19      0.89727         0.84724         11.15890        god
20      0.89821         0.83593         13.54225        keith
21      0.90952         0.84017         11.13940        windows
