3566 	words
1061 	training documents
707 	testing documents
Depth	Training	Testing   	Importance	Word
1 	0.76814 	0.73833 	62.58052 	god
2 	0.79453 	0.77935 	58.01775 	graphics
3 	0.82092 	0.81471 	42.10867 	that
4 	0.82092 	0.81471 	39.45322 	image
5 	0.83695 	0.81612 	38.30560 	that
6 	0.83695 	0.81612 	20.12510 	program
7 	0.84260 	0.81754 	19.92318 	wrote
8 	0.85674 	0.84300 	18.16546 	people
9 	0.86616 	0.83734 	17.58717 	religious
10 	0.87276 	0.83876 	15.97426 	bible
11 	0.87653 	0.84017 	14.27562 	comp
12 	0.88030 	0.84158 	12.72297 	atheist
13 	0.88313 	0.84300 	13.49984 	keith
14 	0.88596 	0.84158 	12.41040 	an
15 	0.88596 	0.84158 	12.48687 	he
16 	0.88878 	0.84724 	11.23781 	uchicago
17 	0.89161 	0.84724 	11.76425 	edges
18 	0.89444 	0.84724 	12.37584 	slow
19 	0.89727 	0.84724 	11.15890 	god
20 	0.89821 	0.83593 	13.54225 	keith
21 	0.90952 	0.84017 	11.13940 	windows
22 	0.91235 	0.84300 	9.52201 	murder
23 	0.91423 	0.84300 	10.03174 	laughter
24 	0.91612 	0.84300 	10.66040 	liar
25 	0.91800 	0.84300 	9.51353 	face
26 	0.91989 	0.84300 	8.64573 	files
27 	0.92177 	0.84441 	9.01351 	vnet
28 	0.92366 	0.84441 	9.58506 	address
29 	0.92460 	0.84300 	10.22765 	tiff
30 	0.92648 	0.84300 	8.44417 	who
31 	0.93402 	0.84300 	8.20229 	for
32 	0.93402 	0.84300 	7.71264 	can
33 	0.93874 	0.82320 	7.01853 	ve
34 	0.94156 	0.81895 	10.16951 	came
35 	0.94439 	0.81754 	6.79328 	use
36 	0.94439 	0.81047 	6.77316 	day
37 	0.94628 	0.80905 	6.46028 	name
38 	0.94722 	0.80764 	6.35260 	hope
39 	0.94722 	0.80764 	6.31821 	no
40 	0.94722 	0.80764 	8.45950 	word
41 	0.94816 	0.80764 	5.93443 	last
42 	0.94910 	0.80622 	5.71844 	have
43 	0.94910 	0.80622 	5.82094 	am
44 	0.95099 	0.81047 	5.71841 	you
45 	0.95099 	0.81047 	7.24682 	format
46 	0.95193 	0.81188 	9.24036 	extension
47 	0.95287 	0.81188 	6.11078 	have
48 	0.95287 	0.81188 	5.65197 	atheism
49 	0.95382 	0.81188 	5.40890 	organizations
50 	0.95476 	0.81330 	6.15005 	biblical
51 	0.95570 	0.81330 	8.13618 	doubt
52 	0.95664 	0.81188 	5.09513 	what
53 	0.95759 	0.82885 	4.85475 	make
54 	0.95947 	0.82885 	4.68996 	the
55 	0.96041 	0.82885 	4.67979 	know
56 	0.96324 	0.81188 	4.65256 	time
57 	0.96701 	0.81330 	4.29855 	by
58 	0.96701 	0.81330 	7.40965 	with
59 	0.97267 	0.81188 	4.60506 	you
60 	0.97267 	0.81188 	4.29530 	they
61 	0.97267 	0.81188 	5.71772 	as
62 	0.97267 	0.81188 	4.12295 	will
63 	0.97455 	0.82178 	4.14171 	price
64 	0.97549 	0.82178 	4.00000 	archive
65 	0.97738 	0.82178 	4.00000 	are
66 	0.97926 	0.82178 	3.60964 	last
67 	0.98021 	0.82178 	3.28696 	any
68 	0.98115 	0.82178 	3.18726 	more
69 	0.98303 	0.82037 	3.17954 	alt
70 	0.98398 	0.82037 	4.81418 	as
71 	0.98398 	0.82037 	4.85475 	or
72 	0.98586 	0.81754 	2.75489 	it
73 	0.98680 	0.81754 	2.75489 	is
74 	0.98775 	0.81754 	2.69961 	be
75 	0.98869 	0.81047 	4.85475 	people
76 	0.99057 	0.81047 	4.52933 	in
77 	0.99152 	0.80905 	2.34591 	from
78 	0.99340 	0.80339 	3.35498 	article
79 	0.99623 	0.80764 	6.04184 	this
80 	0.99811 	0.80622 	2.68996 	get
81 	0.99906 	0.80622 	4.52933 	try
82 	1.00000 	0.80622 	0.00000 	archive
83 	1.00000 	0.80622 	0.00000 	archive
84 	1.00000 	0.80622 	0.00000 	archive
85 	1.00000 	0.80622 	0.00000 	archive
86 	1.00000 	0.80622 	0.00000 	archive
87 	1.00000 	0.80622 	0.00000 	archive
88 	1.00000 	0.80622 	0.00000 	archive
89 	1.00000 	0.80622 	0.00000 	archive
90 	1.00000 	0.80622 	0.00000 	archive
91 	1.00000 	0.80622 	0.00000 	archive
92 	1.00000 	0.80622 	0.00000 	archive
93 	1.00000 	0.80622 	0.00000 	archive
94 	1.00000 	0.80622 	0.00000 	archive
95 	1.00000 	0.80622 	0.00000 	archive
96 	1.00000 	0.80622 	0.00000 	archive
97 	1.00000 	0.80622 	0.00000 	archive
98 	1.00000 	0.80622 	0.00000 	archive
99 	1.00000 	0.80622 	0.00000 	archive
